model,class,precision,recall,f1,support
random_forest,C2_BEACON,0.2697265625,0.855638166047088,0.41015741015741014,1614
random_forest,EXFIL_RANSOMWARE,0.5384615384615384,0.7,0.6086956521739131,20
random_forest,NORMAL,0.9906245096500863,0.870673010619225,0.9267836171462126,29004
random_forest,MACRO,0.5996042035372082,0.8087703922221042,0.6485455598258453,30638
random_forest,WEIGHTED,0.9523526725156778,0.8697695672041256,0.8993602717131108,30638
lstm,C2_BEACON,0.7727272727272727,0.021065675340768277,0.04101326899879373,1614
lstm,EXFIL_RANSOMWARE,0.3333333333333333,0.05,0.08695652173913043,20
lstm,NORMAL,0.9476167076167076,0.9995853203400373,0.972907522324807,28938
lstm,MACRO,0.6845591045591045,0.3568836652269352,0.3669591043542437,30572
lstm,WEIGHTED,0.9379818386059391,0.9473047232762004,0.9231300676316271,30572
autoencoder,ANOMALY(binary),0.09333333333333334,0.004283965728274173,0.008191925102399064,1634
autoencoder,NORMAL(binary),0.9467656970847103,0.9976554957936836,0.9715446472039888,29004
